==============================
MAPK@3 SCORE: 0.2390765095939903
traffic light MAPK@3: 0.24822695035460995 common guesses: [('traffic light', 68), ('microphone', 36), ('lantern', 35)]
remote control MAPK@3: 0.24814814814814815 common guesses: [('remote control', 58), ('vase', 42), ('wine bottle', 26)]
finger MAPK@3: 0.24537037037037035 common guesses: [('finger', 85), ('lipstick', 77), ('skyscraper', 71)]
snorkel MAPK@3: 0.24281609195402296 common guesses: [('snorkel', 75), ('rollerskates', 28), ('scorpion', 19)]
speedboat MAPK@3: 0.2414605418138987 common guesses: [('speedboat', 102), ('crocodile', 76), ('grass', 74)]
moustache MAPK@3: 0.24012345679012348 common guesses: [('moustache', 100), ('ocean', 55), ('canoe', 41)]
stereo MAPK@3: 0.2391304347826087 common guesses: [('stereo', 59), ('microwave', 32), ('school bus', 29)]
bulldozer MAPK@3: 0.23902728351126926 common guesses: [('bulldozer', 92), ('snail', 35), ('truck', 31)]
basket MAPK@3: 0.23876404494382023 common guesses: [('basket', 54), ('beard', 33), ('blackberry', 27)]
ambulance MAPK@3: 0.23723723723723725 common guesses: [('ambulance', 74), ('van', 42), ('firetruck', 30)]
grass MAPK@3: 0.2369369369369369 common guesses: [('grass', 70), ('ocean', 64), ('speedboat', 32)]
foot MAPK@3: 0.2355191256830601 common guesses: [('foot', 102), ('sock', 82), ('nose', 58)]
hamburger MAPK@3: 0.235042735042735 common guesses: [('hamburger', 63), ('sandwich', 39), ('couch', 27)]
crown MAPK@3: 0.22885572139303484 common guesses: [('crown', 66), ('postcard', 38), ('envelope', 36)]
paper clip MAPK@3: 0.22862129144851656 common guesses: [('paper clip', 64), ('lipstick', 52), ('penguin', 26)]
cookie MAPK@3: 0.22842639593908629 common guesses: [('cookie', 72), ('donut', 48), ('clock', 46)]
snail MAPK@3: 0.22802653399668324 common guesses: [('snail', 62), ('bulldozer', 40), ('train', 16)]
moon MAPK@3: 0.22222222222222224 common guesses: [('moon', 50), ('circle', 34), ('octagon', 30)]
motorbike MAPK@3: 0.22091503267973855 common guesses: [('bicycle', 100), ('motorbike', 91), ('bridge', 20)]
panda MAPK@3: 0.2202729044834308 common guesses: [('panda', 48), ('teddy-bear', 22), ('stove', 21)]
laptop MAPK@3: 0.21853741496598642 common guesses: [('laptop', 121), ('computer', 100), ('beard', 54)]
goatee MAPK@3: 0.21637426900584794 common guesses: [('goatee', 87), ('light bulb', 51), ('beard', 48)]
spreadsheet MAPK@3: 0.21568627450980393 common guesses: [('spreadsheet', 77), ('camouflage', 51), ('calendar', 46)]
leg MAPK@3: 0.21523809523809526 common guesses: [('leg', 66), ('golf club', 39), ('shovel', 36)]
violin MAPK@3: 0.21370143149284254 common guesses: [('violin', 87), ('guitar', 61), ('cello', 58)]
feather MAPK@3: 0.21018518518518517 common guesses: [('feather', 52), ('carrot', 50), ('asparagus', 39)]
cow MAPK@3: 0.20990990990990988 common guesses: [('cow', 61), ('zebra', 42), ('tiger', 29)]
waterslide MAPK@3: 0.20983213429256592 common guesses: [('waterslide', 68), ('knee', 31), ('elbow', 30)]
necklace MAPK@3: 0.20902394106813993 common guesses: [('necklace', 57), ('light bulb', 44), ('hot air balloon', 24)]
octopus MAPK@3: 0.20814814814814814 common guesses: [('octopus', 62), ('bulldozer', 34), ('laptop', 24)]
alarm clock MAPK@3: 0.20810810810810812 common guesses: [('alarm clock', 51), ('strawberry', 34), ('apple', 24)]
map MAPK@3: 0.20626151012891344 common guesses: [('map', 54), ('postcard', 51), ('camera', 40)]
flamingo MAPK@3: 0.20588235294117646 common guesses: [('flamingo', 51), ('feather', 21), ('lightning', 20)]
parachute MAPK@3: 0.20418848167539266 common guesses: [('parachute', 57), ('mushroom', 34), ('diamond', 28)]
computer MAPK@3: 0.20161290322580644 common guesses: [('computer', 48), ('laptop', 35), ('tooth', 24)]
skyscraper MAPK@3: 0.20108695652173914 common guesses: [('skyscraper', 77), ('finger', 65), ('lipstick', 64)]
eraser MAPK@3: 0.199438202247191 common guesses: [('eraser', 40), ('saw', 20), ('keyboard', 19)]
guitar MAPK@3: 0.19889502762430938 common guesses: [('violin', 59), ('guitar', 54), ('cello', 45)]
squirrel MAPK@3: 0.19787234042553192 common guesses: [('squirrel', 61), ('crab', 23), ('sheep', 22)]
