Computing Distances
Distances Computed
==============================
('MAPK@3 SCORE:', 0.34546075386072739)
('jacket', 'MAPK@3:', 0.3400830737279335, 'common guesses:', [('jacket', 153), ('sweater', 104), ('t-shirt', 42)])
('moon', 'MAPK@3:', 0.33970856102003638, 'common guesses:', [('moon', 82), ('clock', 37), ('circle', 33)])
('snail', 'MAPK@3:', 0.33913764510779432, 'common guesses:', [('snail', 88), ('bulldozer', 32), ('bee', 16)])
('necklace', 'MAPK@3:', 0.33609576427255983, 'common guesses:', [('necklace', 82), ('light bulb', 40), ('hot air balloon', 22)])
('toaster', 'MAPK@3:', 0.33242753623188398, 'common guesses:', [('toaster', 76), ('birthday cake', 33), ('suitcase', 25)])
('computer', 'MAPK@3:', 0.3315412186379928, 'common guesses:', [('computer', 80), ('laptop', 45), ('tooth', 21)])
('paper clip', 'MAPK@3:', 0.33071553228621292, 'common guesses:', [('paper clip', 82), ('lipstick', 28), ('flip flops', 21)])
('motorbike', 'MAPK@3:', 0.32941176470588235, 'common guesses:', [('motorbike', 124), ('bicycle', 106), ('headphones', 21)])
('saxophone', 'MAPK@3:', 0.32768361581920902, 'common guesses:', [('saxophone', 74), ('giraffe', 50), ('swan', 28)])
('goatee', 'MAPK@3:', 0.32573099415204676, 'common guesses:', [('goatee', 120), ('beard', 45), ('light bulb', 40)])
('lighter', 'MAPK@3:', 0.3250915750915751, 'common guesses:', [('lighter', 90), ('lipstick', 57), ('candle', 49)])
('fireplace', 'MAPK@3:', 0.32331902718168815, 'common guesses:', [('fireplace', 96), ('campfire', 27), ('camera', 24)])
('blackberry', 'MAPK@3:', 0.32291666666666669, 'common guesses:', [('blackberry', 77), ('hurricane', 44), ('grapes', 34)])
('sink', 'MAPK@3:', 0.32161874334398294, 'common guesses:', [('sink', 132), ('birthday cake', 65), ('submarine', 41)])
('fan', 'MAPK@3:', 0.3202614379084967, 'common guesses:', [('fan', 82), ('tennis racquet', 46), ('flower', 37)])
('crab', 'MAPK@3:', 0.31842105263157894, 'common guesses:', [('crab', 82), ('squirrel', 33), ('raccoon', 14)])
('paint can', 'MAPK@3:', 0.3171171171171171, 'common guesses:', [('paint can', 88), ('bucket', 76), ('purse', 23)])
('basket', 'MAPK@3:', 0.31554307116104868, 'common guesses:', [('basket', 71), ('beard', 26), ('laptop', 19)])
('stereo', 'MAPK@3:', 0.31521739130434784, 'common guesses:', [('stereo', 75), ('microwave', 28), ('radio', 27)])
('tiger', 'MAPK@3:', 0.31501831501831501, 'common guesses:', [('tiger', 88), ('zebra', 51), ('cow', 32)])
('smiley face', 'MAPK@3:', 0.3146167557932264, 'common guesses:', [('smiley face', 85), ('cookie', 73), ('donut', 40)])
('squirrel', 'MAPK@3:', 0.31418439716312063, 'common guesses:', [('squirrel', 95), ('dog', 22), ('raccoon', 19)])
('lantern', 'MAPK@3:', 0.31333333333333335, 'common guesses:', [('lantern', 92), ('penguin', 37), ('cell phone', 27)])
('leaf', 'MAPK@3:', 0.31205673758865249, 'common guesses:', [('leaf', 67), ('feather', 31), ('flower', 16)])
('harp', 'MAPK@3:', 0.31035825545171336, 'common guesses:', [('harp', 177), ('monkey', 40), ('pineapple', 38)])
('violin', 'MAPK@3:', 0.30879345603271985, 'common guesses:', [('violin', 139), ('guitar', 105), ('cello', 72)])
('kangaroo', 'MAPK@3:', 0.30852417302798973, 'common guesses:', [('kangaroo', 109), ('giraffe', 30), ('penguin', 27)])
('feather', 'MAPK@3:', 0.30833333333333335, 'common guesses:', [('feather', 76), ('asparagus', 28), ('carrot', 28)])
('cup', 'MAPK@3:', 0.30697278911564624, 'common guesses:', [('cup', 93), ('mug', 74), ('coffee cup', 57)])
('mouth', 'MAPK@3:', 0.30679933665008297, 'common guesses:', [('mouth', 82), ('bathtub', 24), ('watermelon', 22)])
('alarm clock', 'MAPK@3:', 0.30630630630630623, 'common guesses:', [('alarm clock', 71), ('strawberry', 27), ('apple', 23)])
